"labels" "subject" "variable" "mean"
"1" "LAYING" 1 "tBodyAcc-mean()-X" 0.22159824394
"2" "LAYING" 1 "tBodyAcc-mean()-Y" -0.0405139534294
"3" "LAYING" 1 "tBodyAcc-mean()-Z" -0.11320355358
"4" "LAYING" 1 "tBodyAcc-std()-X" -0.9280564692
"5" "LAYING" 1 "tBodyAcc-std()-Y" -0.83682740562
"6" "LAYING" 1 "tBodyAcc-std()-Z" -0.023365945138
"7" "LAYING" 1 "tGravityAcc-mean()-X" -0.24888179828
"8" "LAYING" 1 "tGravityAcc-mean()-Y" 0.70554977346
"9" "LAYING" 1 "tGravityAcc-mean()-Z" 0.4458177198
"10" "LAYING" 1 "tGravityAcc-std()-X" -0.8968300184
"11" "LAYING" 1 "tGravityAcc-std()-Y" -0.90772000676
"12" "LAYING" 1 "tGravityAcc-std()-Z" -0.20911768088
"13" "LAYING" 1 "tBodyAccJerk-mean()-X" 0.0810865342
"14" "LAYING" 1 "tBodyAccJerk-mean()-Y" 0.0038382040088
"15" "LAYING" 1 "tBodyAccJerk-mean()-Z" 0.010834236361
"16" "LAYING" 1 "tBodyAccJerk-std()-X" -0.958482112
"17" "LAYING" 1 "tBodyAccJerk-std()-Y" -0.9241492736
"18" "LAYING" 1 "tBodyAccJerk-std()-Z" -0.022012200614
"19" "LAYING" 1 "tBodyGyro-mean()-X" -0.016553093978
"20" "LAYING" 1 "tBodyGyro-mean()-Y" -0.064486124088
"21" "LAYING" 1 "tBodyGyro-mean()-Z" 0.14868943626
"22" "LAYING" 1 "tBodyGyro-std()-X" -0.87354386782
"23" "LAYING" 1 "tBodyGyro-std()-Y" -0.9510904402
"24" "LAYING" 1 "tBodyGyro-std()-Z" 0.04403706094
"25" "LAYING" 1 "tBodyGyroJerk-mean()-X" -0.107270949192
"26" "LAYING" 1 "tBodyGyroJerk-mean()-Y" -0.04151728689
"27" "LAYING" 1 "tBodyGyroJerk-mean()-Z" -0.0740501211
"28" "LAYING" 1 "tBodyGyroJerk-std()-X" -0.9186085208
"29" "LAYING" 1 "tBodyGyroJerk-std()-Y" -0.9679072436
"30" "LAYING" 1 "tBodyGyroJerk-std()-Z" -0.094974300494
"31" "LAYING" 1 "tBodyAccMag-mean()" -0.8419291525
"32" "LAYING" 1 "tBodyAccMag-std()" -0.02424774582
"33" "LAYING" 1 "tGravityAccMag-mean()" -0.8419291525
"34" "LAYING" 1 "tGravityAccMag-std()" -0.02424774582
"35" "LAYING" 1 "tBodyAccJerkMag-mean()" -0.9543962646
"36" "LAYING" 1 "tBodyAccJerkMag-std()" -0.0789909273
"37" "LAYING" 1 "tBodyGyroMag-mean()" -0.874759548
"38" "LAYING" 1 "tBodyGyroMag-std()" 0.086408548754
"39" "LAYING" 1 "tBodyGyroJerkMag-mean()" -0.96346103
"40" "LAYING" 1 "tBodyGyroJerkMag-std()" -0.111077069856
"41" "LAYING" 1 "fBodyAcc-mean()-X" -0.9390990524
"42" "LAYING" 1 "fBodyAcc-mean()-Y" -0.86706520518
"43" "LAYING" 1 "fBodyAcc-mean()-Z" -0.8826668762
"44" "LAYING" 1 "fBodyAcc-std()-X" -0.9244374346
"45" "LAYING" 1 "fBodyAcc-std()-Y" -0.8336255561
"46" "LAYING" 1 "fBodyAcc-std()-Z" -0.9964246012
"47" "LAYING" 1 "fBodyAccJerk-mean()-X" -0.9570738838
"48" "LAYING" 1 "fBodyAccJerk-mean()-Y" -0.9224626098
"49" "LAYING" 1 "fBodyAccJerk-mean()-Z" -0.9480609042
"50" "LAYING" 1 "fBodyAccJerk-std()-X" -0.9641607086
"51" "LAYING" 1 "fBodyAccJerk-std()-Y" -0.9322178704
"52" "LAYING" 1 "fBodyAccJerk-std()-Z" -0.99717988
"53" "LAYING" 1 "fBodyGyro-mean()-X" -0.850249174586
"54" "LAYING" 1 "fBodyGyro-mean()-Y" -0.9521914948
"55" "LAYING" 1 "fBodyGyro-mean()-Z" -0.909302721
"56" "LAYING" 1 "fBodyGyro-std()-X" -0.8822964508
"57" "LAYING" 1 "fBodyGyro-std()-Y" -0.9512320494
"58" "LAYING" 1 "fBodyGyro-std()-Z" -0.9979328882
"59" "LAYING" 1 "fBodyAccMag-mean()" -0.8617676481
"60" "LAYING" 1 "fBodyAccMag-std()" -0.508329046806
"61" "LAYING" 1 "fBodyBodyAccJerkMag-mean()" -0.9333003608
"62" "LAYING" 1 "fBodyBodyAccJerkMag-std()" -0.6737157919
"63" "LAYING" 1 "fBodyBodyGyroMag-mean()" -0.8621901854
"64" "LAYING" 1 "fBodyBodyGyroMag-std()" -0.391530370084
"65" "LAYING" 1 "fBodyBodyGyroJerkMag-mean()" -0.9423669466
"66" "LAYING" 1 "fBodyBodyGyroJerkMag-std()" -0.35241310896
"67" "LAYING" 2 "tBodyAcc-mean()-X" 0.281373403958333
"68" "LAYING" 2 "tBodyAcc-mean()-Y" -0.0181587397583333
"69" "LAYING" 2 "tBodyAcc-mean()-Z" -0.107245610416667
"70" "LAYING" 2 "tBodyAcc-std()-X" -0.974059464791667
"71" "LAYING" 2 "tBodyAcc-std()-Y" -0.98027739875
"72" "LAYING" 2 "tBodyAcc-std()-Z" -0.248458834006667
"73" "LAYING" 2 "tGravityAcc-mean()-X" -0.509754238125
"74" "LAYING" 2 "tGravityAcc-mean()-Y" 0.752536639375
"75" "LAYING" 2 "tGravityAcc-mean()-Z" 0.646834879583333
"76" "LAYING" 2 "tGravityAcc-std()-X" -0.959014441458333
"77" "LAYING" 2 "tGravityAcc-std()-Y" -0.988211865208333
"78" "LAYING" 2 "tGravityAcc-std()-Z" -0.563200740208333
